Date,Adams,Allegheny,Armstrong,Beaver,Bedford,Berks,Blair,Bradford,Bucks,Butler,Cambria,Cameron,Carbon,Centre,Chester,Clarion,Clearfield,Clinton,Columbia,Crawford,Cumberland,Dauphin,Delaware,Elk,Erie,Fayette,Forest,Franklin,Fulton,Greene,Huntingdon,Indiana,Jefferson,Juniata,Lackawanna,Lancaster,Lawrence,Lebanon,Lehigh,Luzerne,Lycoming,McKean,Mercer,Mifflin,Monroe,Montgomery,Montour,Northampton,Northumberland,Perry,Philadelphia,Pike,Potter,Schuylkill,Snyder,Somerset,Sullivan,Susquehanna,Tioga,Union,Venango,Warren,Washington,Wayne,Westmoreland,Wyoming,York,Total
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12
2020-03-11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16
2020-03-12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22
2020-03-13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,41
2020-03-14,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,47
2020-03-15,0,3,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,24,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,65
2020-03-16,0,5,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,30,0,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,79
2020-03-17,0,7,0,1,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,34,0,1,0,0,18,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,108
2020-03-18,0,11,0,2,0,1,0,0,12,0,0,0,0,0,9,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,7,42,0,1,0,0,34,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,153
2020-03-19,1,16,0,2,0,1,0,0,14,0,0,0,0,0,10,0,0,0,0,0,11,0,14,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,1,0,0,0,0,15,55,0,5,0,0,44,3,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,206
2020-03-20,4,28,0,3,0,5,0,0,18,0,0,0,0,1,17,0,0,0,0,0,11,0,23,0,1,0,0,1,0,0,0,0,0,0,4,2,0,1,2,2,0,0,0,0,19,68,0,10,0,0,67,2,1,0,0,0,0,0,0,0,0,0,3,1,4,0,6,304
2020-03-21,4,31,0,3,0,7,0,0,27,1,0,0,0,1,19,0,0,0,0,0,11,0,34,0,1,0,0,1,0,0,0,0,0,0,5,4,0,2,13,6,0,0,0,0,25,77,1,17,0,0,85,2,1,0,0,0,0,0,0,0,0,0,5,1,4,0,9,397
2020-03-22,5,40,0,3,0,13,0,0,41,1,0,0,0,1,23,0,0,0,1,0,11,1,45,0,2,1,0,1,0,0,0,0,0,0,6,5,0,3,19,7,0,0,1,0,31,110,1,21,0,0,96,3,1,1,0,0,0,0,0,0,0,0,7,2,4,0,10,517
2020-03-23,6,48,0,3,0,14,0,0,61,5,1,0,0,3,40,0,0,0,1,0,12,1,54,0,3,1,0,1,0,0,0,0,0,0,7,5,0,3,25,10,0,0,1,0,43,136,1,23,0,0,128,3,1,3,0,0,0,0,0,0,0,0,7,3,6,0,10,669
2020-03-24,6,58,1,3,0,16,0,1,85,6,1,0,1,7,40,0,1,0,1,0,13,4,84,0,4,2,0,3,0,0,0,0,0,1,15,10,0,3,27,21,0,0,2,0,45,144,3,33,0,0,252,4,1,5,0,1,0,0,0,0,0,0,9,4,11,0,18,946
2020-03-25,6,88,1,7,0,20,0,1,110,12,1,0,1,8,54,0,2,0,1,0,13,10,101,0,4,4,0,5,0,0,0,0,0,1,18,12,1,3,38,27,1,0,2,0,51,219,4,44,0,0,342,9,1,6,0,2,0,0,0,0,0,1,10,4,16,0,20,1281
2020-03-26,7,133,1,13,0,36,1,2,128,19,1,0,2,9,84,0,2,0,3,1,15,13,156,0,4,8,0,5,0,3,0,1,0,1,28,21,1,4,63,36,1,0,3,0,67,313,4,56,0,0,475,15,1,9,0,2,0,1,0,0,0,1,12,6,24,0,21,1812
2020-03-27,8,158,1,14,0,65,1,2,181,26,1,0,2,11,102,0,2,0,3,1,16,18,190,0,7,9,0,5,0,4,0,2,0,1,35,33,4,12,93,55,2,0,4,0,98,374,4,79,1,0,637,23,1,13,0,2,0,1,0,0,0,1,14,6,30,0,29,2381
2020-03-28,8,219,2,22,0,65,2,3,216,41,1,1,3,15,116,1,2,0,4,2,22,23,232,0,7,10,0,7,0,6,1,2,0,1,51,45,8,15,109,65,2,1,6,0,106,404,5,94,1,1,806,27,2,16,1,2,0,1,1,0,0,1,23,6,41,0,37,2911
2020-03-29,8,265,3,28,0,68,3,3,249,47,1,1,9,22,137,1,2,0,6,3,22,35,276,0,7,10,0,11,0,6,1,2,0,1,56,67,8,19,151,94,3,1,7,2,135,431,4,126,1,1,890,33,2,21,2,2,0,1,1,0,1,1,24,7,47,0,43,3408
2020-03-30,8,290,3,44,0,82,6,3,288,49,2,1,13,24,146,1,4,0,6,4,24,36,300,0,13,11,0,12,0,7,1,2,0,3,62,97,10,27,231,150,4,1,7,2,182,540,10,184,1,1,1072,39,2,30,2,2,0,1,1,0,1,1,26,10,55,0,54,4188
2020-03-31,9,325,5,52,2,110,4,7,319,60,2,1,17,26,160,3,4,0,7,4,36,45,338,0,14,14,0,19,0,9,1,6,0,3,78,123,13,28,272,212,6,1,8,2,236,570,9,245,1,1,1197,48,2,38,2,2,0,1,2,4,3,1,33,10,61,0,66,4877
2020-04-01,12,356,5,54,3,151,4,8,373,64,3,1,23,27,183,4,4,0,8,5,38,59,390,0,15,14,0,21,0,9,1,6,0,2,85,157,13,36,374,282,7,1,8,1,278,649,13,312,6,1,1478,57,2,47,3,3,0,2,2,2,3,1,35,14,72,0,79,5866
2020-04-02,18,419,7,55,3,168,4,8,446,69,4,1,26,28,210,4,4,0,11,5,41,67,469,0,16,15,0,23,0,11,2,6,0,2,108,203,16,45,479,384,7,1,9,1,321,735,15,378,8,3,1852,68,2,54,3,3,0,3,2,2,3,1,38,17,84,1,102,7090
2020-04-03,19,476,11,65,3,201,4,9,517,75,4,1,34,32,226,4,5,1,15,5,45,79,542,0,17,20,1,26,0,11,3,7,0,5,119,232,19,54,584,484,8,1,10,2,397,778,16,466,8,4,2284,83,2,63,4,3,0,4,3,3,3,1,38,23,110,2,121,8392
2020-04-04,21,552,12,69,4,235,5,10,580,84,6,1,46,39,246,4,7,1,20,5,54,99,617,0,19,23,2,27,0,12,4,9,0,7,146,291,22,87,804,648,10,1,14,4,484,888,19,588,9,5,2610,97,3,77,6,3,1,5,3,5,3,1,46,28,135,5,144,10012
2020-04-05,22,605,12,84,4,276,5,10,634,87,7,1,50,43,266,5,7,1,22,7,58,118,708,0,19,27,3,30,1,12,4,13,0,7,172,371,23,106,877,741,9,1,18,9,528,989,37,636,14,5,3135,114,3,90,8,4,1,6,3,6,3,1,50,33,147,5,171,11464
2020-04-06,25,642,13,96,4,326,5,10,619,91,7,1,59,44,307,6,7,3,26,9,68,132,822,0,20,29,4,32,1,12,4,17,0,11,190,408,24,124,1006,849,10,1,18,5,572,1230,33,716,15,5,3611,125,3,103,8,6,1,6,8,6,5,1,53,35,157,5,189,12980
2020-04-07,28,689,18,116,4,369,6,14,816,107,7,1,67,55,335,9,7,3,42,8,77,155,898,2,28,32,5,39,1,15,5,21,1,14,235,490,29,145,1146,982,12,1,26,6,610,1294,33,774,22,9,4012,136,3,119,9,7,1,11,10,7,5,1,57,40,177,5,218,14626
2020-04-08,33,720,19,128,4,416,6,15,756,113,9,1,76,57,373,8,7,3,54,8,84,168,1034,2,29,35,5,43,1,17,6,21,1,18,266,561,32,169,1319,1134,15,1,27,10,671,1521,26,857,22,13,4456,148,3,136,9,7,1,14,10,8,5,1,59,47,183,5,233,16239
2020-04-09,38,759,20,129,4,616,6,15,1022,113,10,1,83,59,425,8,7,4,65,13,88,180,1238,2,32,45,5,52,1,21,8,21,1,23,312,596,37,187,1466,1241,17,1,30,10,716,1502,25,949,24,15,5029,163,3,149,9,7,1,16,10,11,5,1,63,49,190,6,250,18204
